,username,type,country,timestamp,english_score,universal_score,English,date of analysis,relevant_score
33,kkkrisssuu,Bot,estonia,1575493579,2.1,0.7,0,5/1/20,0.7
34,irisskk,Bot,estonia,1585160367,0.3,0.6,1,5/1/20,0.3
35,CHHR01,Bot,france,1583545524,0.3,1.5,1,5/1/20,0.3
36,l1z3773_,Bot,estonia,1575210688,0.2,0.2,1,5/1/20,0.2
37,katindiana,Bot,estonia,1567897183,0.4,0.4,1,5/1/20,0.4
38,RedHawkWinter,Bot,uk,1582973613,1.9,1.9,1,5/1/20,1.9
39,ThAlMeArCrEq,Bot,netherlands,1584403792,0.4,0.6,1,5/1/20,0.4
40,eeggeerrtt,Bot,estonia,1558555725,1.2,2.1,1,5/1/20,1.2
41,policedoog1971,Bot,netherlands,1583825427,0.2,0.5,0,5/1/20,0.5
42,PDP00000001,Bot,uk,1583168204,0.8,1.5,1,5/1/20,0.8
43,joolsmagools,Bot,uk,1583955276,0.4,0.9,1,5/1/20,0.4
44,AngelTibbs,Bot,uk,1571263752,0.7,0.6,1,5/1/20,0.7
45,jurylady5,Bot,czech,1578873081,1.8,2.3,1,5/1/20,1.8
46,NicholasStix,Bot,hungary,1564143742,1.7,1.9,1,5/1/20,1.7
47,crygreen2,Bot,Sweden,1584702098,1.0,0.6,1,5/1/20,1.0
48,CosmUnity,Bot,uk,1568441572,2.4,2.2,1,5/1/20,2.4
49,DclareDiane,Bot,finland,1582727851,0.8,1.3,1,5/1/20,0.8
50,jarkesy,Bot,uk,1577963215,3.4,3.9,1,5/1/20,3.4
51,alfredoviloriaf,Bot,france,1579676822,1.0,0.5,0,5/1/20,0.5
52,mikunitmr,Bot,netherlands,1582961979,1.3,1.2,0,5/1/20,1.2
53,lbastura,Bot,uk,1582952467,0.5,0.5,1,5/1/20,0.5
54,0014edward,Bot,netherlands,1582770671,0.2,0.3,0,5/1/20,0.3
55,bean9986,Bot,uk,1580739612,1.3,1.0,2,5/1/20,1.0
56,memeorandum,Bot,hungary,1581724308,1.0,0.7,1,5/1/20,1.0
57,kowkiler,Bot,finland,1547125787,3.2,1.8,1,5/1/20,3.2
58,MrsESK,Bot,uk,1565065148,2.5,3.1,1,5/1/20,2.5
59,AG_Hays,Bot,uk,1568750515,0.5,0.7,1,5/1/20,0.5
60,s_barbariska,Bot,estonia,1585220299,3.3,3.3,0,5/1/20,3.3
61,goladygo45,Bot,netherlands,1581799200,1.2,1.9,1,5/1/20,1.2
62,ranettejaager,Bot,estonia,1576142397,3.3,2.5,1,5/1/20,3.3
63,lleevike,Bot,estonia,1584012948,0.4,0.4,0,5/1/20,0.4
64,OliverTonis,Bot,estonia,1579016870,0.6,1.0,0,5/1/20,1.0
65,juliasjourneys,Bot,estonia,1585554330,0.7,0.7,1,5/1/20,0.7
66,FionaHelenChri1,Bot,uk,1575641465,4.0,3.9,1,5/1/20,4.0
67,nunznini,Bot,france,1581712592,0.7,1.2,1,5/1/20,0.7
