username,type,country,timestamp,english_score,universal_score,English,date of analysis,relevant_score
0807ankit,Suspect,eu,1583107200,3.9,1.3,1,5/1/20,3.9
100011crusader,Suspect,eu,1585699200,1,1.5,1,5/1/20,1
10WallStreet,Suspect,eu,1582588800,1.4,1.8,1,5/1/20,1.4
18dPl,Suspect,sweden,1582934400,1.4,1.7,1,5/1/20,1.4
18hariprakash18,Suspect,eu,1585872000,3.9,3.3,1,5/1/20,3.9
55_Thunderbolt,Suspect,eu,1586217600,2.7,3,1,5/1/20,2.7
5b20be6386164f8,Suspect,eu,1584057600,1.4,2.5,1,5/1/20,1.4
actiontiff,Suspect,eu,1575849600,0.6,0.7,1,5/1/20,0.6
georgegalloway,Suspect,usa,1579909930,0.2,0.4,1,5/2/20,0.2
jondknight,Suspect,eu,1575413207,3.1,3.9,1,5/2/20,3.1
PrincessBibiRF_,Suspect,eu,1576426133,2,2.7,1,5/2/20,2
55krissi55,Suspect,usa,1578845533,0.6,0.6,1,5/2/20,0.6
idawhannadoyou,Suspect,eu,1575558592,1.4,0.8,1,5/2/20,1.4
marty713,Suspect,eu,1575558593,1.9,2.9,1,5/2/20,1.9
MSymbolik,Suspect,usa,1579120257,0.4,0.7,1,5/2/20,0.4
BubbaJoeBaker,Suspect,eu,1579120267,2.5,3.2,1,5/2/20,2.5
CanalOblik,Suspect,france,1575558614,1,0.3,0,5/2/20,0.3
JustSayingTrump,Suspect,eu,1575558614,2.2,3.1,1,5/2/20,2.2
malmobon,Suspect,sweden,1579120269,0.3,0.5,0,5/2/20,0.5
Craybo23,Suspect,eu,1575558629,3.8,2.8,1,5/2/20,3.8
Tweelingetje2V,Suspect,netherlands,1579120279,0.7,0.9,0,5/2/20,0.9
GordBolton,User,usa,1578631855,1,0.7,1,5/2/20,1
RennaW,User,eu,1581036824,0.4,1.2,1,5/2/20,0.4
Tel0072000,User,eu,1581036832,0.3,0.4,1,5/2/20,0.3
shakesheave,User,uk,1580532201,1.2,1.2,1,5/2/20,1.2
AsianDef,User,eu,1580532207,1.7,1.2,1,5/2/20,1.7
obligatoryasian,User,usa,1580532207,0.6,0.6,1,5/2/20,0.6
brinjak,User,eu,1581036848,0.5,0.7,1,5/2/20,0.5
TradCatKnight,User,eu,1581036851,1.8,1.4,1,5/2/20,1.8
CaroleGilman,User,usa,1581036858,0.2,0.7,1,5/2/20,0.2
AsianDef,User,eu,1580532223,1.7,1.2,1,5/2/20,1.7
Sorenus,User,france,1580532224,0.5,0.5,0,5/2/20,0.5
KyleMason365,User,usa,1580532232,1.1,0.7,1,5/2/20,1.1
bluecollardude,User,usa,1581036884,0.8,1.1,1,5/2/20,0.8
PBruynen,User,netherlands,1580532245,0.2,0.4,0,5/2/20,0.4
rvaidya2000,User,eu,1581036895,0.2,0.2,1,5/2/20,0.2
Ericb1980,User,eu,1581036895,0.2,0.3,1,5/2/20,0.2
realcalpol,User,eu,1581036899,0.5,0.8,1,5/2/20,0.5
fuseboxradio,User,eu,1581036900,2.7,3,1,5/2/20,2.7
Toba_60,User,eu,1581036900,3,2,0,5/2/20,2
JSoap1945,User,eu,1581036911,3.7,3.4,1,5/2/20,3.7
goingglobal2,User,usa,1581036912,0.3,0.5,1,5/2/20,0.3
LesMotsRouges,User,france,1581027578,0.5,0.3,0,5/2/20,0.3
Aspirides78,User,netherlands,1581027587,0.8,2.4,0,5/2/20,2.4
adrianxleconte,User,eu,1581027598,0.7,0.6,0,5/2/20,0.6
Manresssa,User,eu,1581027599,0.2,0.2,1,5/2/20,0.2
Monicoser,User,france,1581027599,0.5,0.4,0,5/2/20,0.4
hja2011,User,netherlands,1581027602,0.4,0.3,0,5/2/20,0.3
Lance63,User,uk,1581027610,0.4,0.6,1,5/2/20,0.4
Melusinebreizh,User,france,1581027610,0.4,0.2,0,5/2/20,0.2
Iamwhitneyblack,User,eu,1581027619,0.2,0.5,1,5/2/20,0.2
